clause_id,silver_label
1,misc
2,misc
3,misc
4,misc
5,misc
6,instructional_effectiveness
7,workload
8,fairness
9,misc
10,workload
11,misc
12,workload
13,workload
14,workload
15,misc
16,misc
17,instructional_effectiveness
18,misc
19,misc
20,instructional_effectiveness
21,misc
22,misc
23,misc
24,instructional_effectiveness
25,fairness
26,instructional_effectiveness
27,misc
28,instructional_effectiveness
29,workload
30,misc
31,instructional_effectiveness
32,misc
33,misc
34,instructional_effectiveness
35,instructional_effectiveness
36,instructional_effectiveness
37,fairness
38,workload
39,workload
40,workload
41,workload
42,workload
43,workload
44,misc
45,workload
46,instructional_effectiveness
47,misc
48,misc
49,misc
50,instructional_effectiveness
51,workload
52,workload
53,misc
54,misc
55,misc
56,misc
57,misc
58,workload
59,instructional_effectiveness
60,misc
61,misc
62,instructional_effectiveness
63,instructional_effectiveness
64,misc
65,instructional_effectiveness
66,instructional_effectiveness
67,misc
68,instructional_effectiveness
69,fairness
70,instructional_effectiveness
71,misc
72,misc
73,misc
74,misc
75,misc
76,misc
77,misc
78,misc
79,instructional_effectiveness
80,instructional_effectiveness
81,instructional_effectiveness
82,instructional_effectiveness
83,misc
84,workload
85,instructional_effectiveness
86,misc
87,misc
88,fairness
89,fairness
90,instructional_effectiveness
91,misc
92,fairness
93,misc
94,misc
95,instructional_effectiveness
96,fairness
97,instructional_effectiveness
98,misc
99,instructional_effectiveness
100,misc
101,workload
102,instructional_effectiveness
103,workload
104,misc
105,misc
106,workload
107,workload
108,fairness
109,misc
110,misc
111,instructional_effectiveness
112,instructional_effectiveness
113,workload
114,instructional_effectiveness
115,instructional_effectiveness
116,instructional_effectiveness
117,instructional_effectiveness
118,misc
119,misc
120,instructional_effectiveness
121,misc
122,misc
123,instructional_effectiveness
124,workload
125,workload
126,instructional_effectiveness
127,instructional_effectiveness
128,instructional_effectiveness
129,fairness
130,misc
131,instructional_effectiveness
132,instructional_effectiveness
133,misc
134,misc
135,misc
136,misc
137,instructional_effectiveness
138,instructional_effectiveness
139,misc
140,instructional_effectiveness
141,misc
142,misc
143,misc
144,instructional_effectiveness
145,instructional_effectiveness
146,misc
147,fairness
148,misc
149,misc
150,workload
151,instructional_effectiveness
152,workload
