review_id_1,review_id_2,expert_1,expert_2,expert_3,votes_1,votes_2,votes_3,n_ratings,consensus_label,has_majority,Expert Label:,unsure,delta_1,delta_2,missing_delta,evaluable,abs_delta_1,abs_delta_2,delta_diff,model_pred,model_tie,expert_label,correct
358,2533,1.0,1,1.0,3,0,0,3,1.0,True,1.0,False,0.0604412181583819,2.489073308026488,False,True,0.0604412181583819,2.489073308026488,2.428632089868106,1.0,False,1.0,True
375,9995,2.0,2,2.0,0,3,0,3,2.0,True,2.0,False,2.099044829043392,0.0271607590775819,False,True,2.099044829043392,0.0271607590775819,2.07188406996581,2.0,False,2.0,True
784,3990,2.0,2,2.0,0,3,0,3,2.0,True,2.0,False,0.6971766995282387,0.000493216901849,False,True,0.6971766995282387,0.000493216901849,0.6966834826263897,2.0,False,2.0,True
914,19238,2.0,2,2.0,0,3,0,3,2.0,True,2.0,False,0.2217035648542991,0.0048466854629154,False,True,0.2217035648542991,0.0048466854629154,0.2168568793913837,2.0,False,2.0,True
1109,3526,2.0,2,2.0,0,3,0,3,2.0,True,2.0,False,1.436187165352535,0.0079719760212952,False,True,1.436187165352535,0.0079719760212952,1.4282151893312398,2.0,False,2.0,True
1264,12175,3.0,1,1.0,2,0,1,3,1.0,True,1.0,False,0.0034825383390515,0.9444290051595664,False,True,0.0034825383390515,0.9444290051595664,0.9409464668205149,1.0,False,1.0,True
1416,16821,1.0,1,1.0,3,0,0,3,1.0,True,1.0,False,-0.0044991534288785,-0.0489202475707677,False,True,0.0044991534288785,0.0489202475707677,0.044421094141889196,1.0,False,1.0,True
1669,9894,1.0,1,1.0,3,0,0,3,1.0,True,1.0,False,0.0001031635501433,-1.2933776389199187,False,True,0.0001031635501433,1.2933776389199187,1.2932744753697754,1.0,False,1.0,True
1675,19692,2.0,2,1.0,1,2,0,3,2.0,True,2.0,False,-0.1796286802095918,-0.0891662988023824,False,True,0.1796286802095918,0.0891662988023824,0.0904623814072094,2.0,False,2.0,True
1777,6109,2.0,2,2.0,0,3,0,3,2.0,True,2.0,False,2.5115897435193792,0.0412616216737968,False,True,2.5115897435193792,0.0412616216737968,2.4703281218455824,2.0,False,2.0,True
1896,15803,1.0,1,1.0,3,0,0,3,1.0,True,1.0,False,0.0272779729023868,-0.7547564148489339,False,True,0.0272779729023868,0.7547564148489339,0.7274784419465471,1.0,False,1.0,True
