review_id,prof_ID,rating,misc_d,arousal,style,hook_score,review
15816,121,1.0,0.85,0.010336992826881448,0.37875000000000003,0.6017241197623286,"i had this guy last year and let me tell you that after every class i would go to my car and start crying. he made me feel stupid, and pretty much i was board but still tried very hard!!! i was so frustrated!!! again i left almost every class in tears!"
16075,601,2.5,0.93,0.00118519859445291,0.29375,0.5279679250971937,oh man. i don't know how she got such good ratings. her voice makes you want to... hurt... things. every seen mrs doubtfire? she's like a mix of that and julia child. makes it hard to focus and i think she does it on purpose! i don't mean to be hateful... but you need the facts. don't take her. definitely. i even got a b and i'm sayin this!
4303,1069,5.0,1.0,0.0,0.25,0.5,he's the nicest man in the world!! he makes sure you understand the laws!! he wants you to be a good cop!!! he does everything to help you out!!
12200,1089,5.0,0.77,0.0024639670871127,0.31416666666666665,0.42621223620764276,doctor sambrook is awesome! you have to take the time to build a relationship with him! he is shy... talk to him and he will talk back! i went the whole summer with him to ecuador and had an absolute blast with him! he wrote me the most touching letter of reference so i could become a teacher! if you are bored... you are boring!
16875,783,5.0,1.0,0.0,0.20708333333333334,0.4141666666666667,i was always treated as an insider even though i wasn't a music major... i still get hugs when i go back after 10 years!!!
11897,542,3.5,1.0,0.0,0.2,0.4,"the made me feel bad about myself 3 times in one year, but i think that just taught me to be more confident in myself. so she helped me out in that manner. i think she has one mind set. its her way or the high way. i dont let her bother me, but i can't say i like her, actaully i dislike her a lot."
11290,216,5.0,1.0,0.0,0.19833333333333333,0.39666666666666667,i also took art 208 with chris! he's soooo awesome! and very helpful... chris rocks my world! gosh!
1810,230,5.0,1.0,0.0,0.19166666666666665,0.3833333333333333,big up to the selektah massive inside! rinse out professor j mack propa... gunshots! boh! boh! maximum reeespect....
10047,909,5.0,1.0,0.0,0.1875,0.375,chaney is amazing!! had him for an 8am on a monday and he made it totally bearable! he is hilarious and gives you a lot of creative freedom! take him!!
3813,563,5.0,1.0,0.0,0.17625000000000002,0.35250000000000004,love mrs austin!! she's the best and she's very easy to talk to about anything!!! i highly recommend her to anyone
